,SMILES,title,conformer,i_i_glide_lignum,r_glide_cpu_time,r_i_docking_score
0,COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,0,1,1,12.67,-4.68874
1,COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,0,1,1,12.68,-5.36012
2,COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,0,1,1,12.68,-3.11381
3,COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,0,1,1,12.69,-2.97616
4,COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,0,1,1,12.69,-3.28062
5,COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,0,1,1,12.7,-3.49919
6,COc1cc2c3c(cccc3c1)C(=O)N(CC1CCN(C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,0,1,1,12.7,-2.17451
7,COc1cc2c3c(cccc3c1)C(=O)N(CC1CC[NH+](C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,0,2,2,7.7,-5.78822
8,COc1cc2c3c(cccc3c1)C(=O)N(CC1CC[NH+](C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,0,2,2,7.7,-6.54982
9,COc1cc2c3c(cccc3c1)C(=O)N(CC1CC[NH+](C[C@@H](O)COc3cccc4[nH]c5ccccc5c34)CC1)C2=O,0,2,2,7.71,-7.38283
10,CC(C)(C)NC[C@H](O)COc1cccc2[nH]c(O)nc12,1,1,3,70.25,7.83458
11,CC(C)(C)NC[C@H](O)COc1cccc2[nH]c(O)nc12,1,1,3,70.26,8.5579
12,CC(C)(C)NC[C@H](O)COc1cccc2[nH]c(O)nc12,1,1,3,70.26,8.1676
13,CC(C)(C)NC[C@H](O)COc1cccc2[nH]c(O)nc12,1,1,3,70.26,9.51396
14,CC(C)(C)NC[C@H](O)COc1cccc2[nH]c(O)nc12,1,1,3,70.26,10.0331
15,CC(C)(C)NC[C@H](O)COc1cccc2[nH]c(O)nc12,1,1,3,70.27,9.12318
16,CC(C)(C)NC[C@H](O)COc1cccc2[nH]c(O)nc12,1,1,3,70.27,9.63184
17,CC(C)(C)NC[C@H](O)COc1cccc2[nH]c(O)nc12,1,1,3,70.27,9.99875
18,CC(C)(C)NC[C@H](O)COc1cccc2[nH]c(O)nc12,1,1,3,70.27,9.95871
19,CC(C)(C)[NH2+]C[C@H](O)COc1cccc2[nH]c(=O)[nH]c12,1,2,4,38.51,-10.0225
20,CC(C)(C)[NH2+]C[C@H](O)COc1cccc2[nH]c(=O)[nH]c12,1,2,4,38.52,-9.84949
21,CC(C)(C)[NH2+]C[C@H](O)COc1cccc2[nH]c(=O)[nH]c12,1,2,4,38.52,-9.74571
22,CC(C)(C)[NH2+]C[C@H](O)COc1cccc2[nH]c(=O)[nH]c12,1,2,4,38.52,-9.48446
23,CC(C)(C)[NH2+]C[C@H](O)COc1cccc2[nH]c(=O)[nH]c12,1,2,4,38.53,-9.54901
24,CC(C)(C)[NH2+]C[C@H](O)COc1cccc2[nH]c(=O)[nH]c12,1,2,4,38.53,-7.86833
25,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]ccc23)CC1,2,1,5,29.95,-4.28681
26,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]ccc23)CC1,2,1,5,29.96,-4.03604
27,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]ccc23)CC1,2,1,5,29.96,-4.1199
28,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]ccc23)CC1,2,1,5,29.96,-3.28039
29,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]ccc23)CC1,2,1,5,29.97,-3.94613
30,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]ccc23)CC1,2,1,5,29.97,-2.98643
31,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]ccc23)CC1,2,1,5,29.98,-4.2852
32,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]ccc23)CC1,2,1,5,29.98,-3.85876
33,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]ccc23)CC1,2,1,5,29.98,-2.70348
34,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]ccc23)CC1,2,1,5,29.99,-2.79723
35,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]ccc23)CC1,2,2,6,22.68,-8.08927
36,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]ccc23)CC1,2,2,6,22.69,-6.03958
37,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]ccc23)CC1,2,2,6,22.69,-6.93956
38,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]ccc23)CC1,2,2,6,22.7,-6.34997
39,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]ccc23)CC1,2,2,6,22.7,-6.38912
40,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]ccc23)CC1,2,2,6,22.7,-6.09517
41,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]ccc23)CC1,2,2,6,22.71,-6.02802
42,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]ccc23)CC1,2,2,6,22.71,-5.99537
43,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]ccc23)CC1,2,2,6,22.72,-6.55752
44,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]ccc23)CC1,2,2,6,22.72,-5.94926
45,CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,3,1,7,78.37,-4.38457
46,CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,3,1,7,78.37,-3.26277
47,CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,3,1,7,78.38,-3.72392
48,CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,3,1,7,78.38,-3.07166
49,CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,3,1,7,78.38,-3.38791
50,CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,3,1,7,78.38,-3.30443
51,CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,3,1,7,78.38,-3.11748
52,CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,3,1,7,78.39,-3.32998
53,CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,3,1,7,78.39,-2.79231
54,CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,3,1,7,78.39,-2.89977
55,CC(C)[NH2+]C[C@@H](O)COc1cccc2[nH]ccc12,3,2,8,40.92,-8.80903
56,CC(C)[NH2+]C[C@@H](O)COc1cccc2[nH]ccc12,3,2,8,40.92,-8.7296
57,CC(C)[NH2+]C[C@@H](O)COc1cccc2[nH]ccc12,3,2,8,40.92,-8.26557
58,CC(C)[NH2+]C[C@@H](O)COc1cccc2[nH]ccc12,3,2,8,40.92,-7.82925
59,CC(C)[NH2+]C[C@@H](O)COc1cccc2[nH]ccc12,3,2,8,40.93,-7.33592
60,CC(C)[NH2+]C[C@@H](O)COc1cccc2[nH]ccc12,3,2,8,40.93,-7.44394
61,CC(C)[NH2+]C[C@@H](O)COc1cccc2[nH]ccc12,3,2,8,40.93,-7.70456
62,CC(C)[NH2+]C[C@@H](O)COc1cccc2[nH]ccc12,3,2,8,40.93,-7.29227
63,CC(C)[NH2+]C[C@@H](O)COc1cccc2[nH]ccc12,3,2,8,40.94,-7.4333
64,CC(C)[NH2+]C[C@@H](O)COc1cccc2[nH]ccc12,3,2,8,40.94,-7.26062
65,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,4,1,9,21.14,-4.49157
66,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,4,1,9,21.15,-4.48462
67,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,4,1,9,21.15,-4.59236
68,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,4,1,9,21.15,-4.39805
69,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,4,1,9,21.16,-4.29459
70,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,4,1,9,21.16,-3.92216
71,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,4,1,9,21.17,-3.68011
72,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,4,1,9,21.17,-3.32692
73,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,4,1,9,21.18,-3.17718
74,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,4,1,9,21.18,-2.45084
75,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,4,2,10,19.81,-8.27625
76,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,4,2,10,19.82,-8.89705
77,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,4,2,10,19.82,-7.94138
78,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,4,2,10,19.83,-8.24845
79,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,4,2,10,19.83,-7.96211
80,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,4,2,10,19.83,-8.10012
81,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,4,2,10,19.83,-7.5533
82,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,4,2,10,19.84,-7.94744
83,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,4,2,10,19.84,-6.82149
84,CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,4,2,10,19.84,-6.73595
85,COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,5,1,11,25.98,-5.84947
86,COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,5,1,11,25.99,-6.606
87,COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,5,1,11,25.99,-6.31853
88,COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,5,1,11,25.99,-5.11127
89,COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,5,1,11,26.0,-5.93574
90,COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,5,1,11,26.0,-5.02005
91,COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,5,1,11,26.0,-4.71343
92,COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,5,1,11,26.01,-5.17886
93,COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,5,1,11,26.01,-5.25674
94,COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,5,1,11,26.02,-4.96095
95,COc1ccccc1OCC[NH2+]C[C@@H](O)COc1cccc2[nH]c3ccccc3c12,5,2,12,27.48,-7.81904
96,COc1ccccc1OCC[NH2+]C[C@@H](O)COc1cccc2[nH]c3ccccc3c12,5,2,12,27.49,-7.57429
97,COc1ccccc1OCC[NH2+]C[C@@H](O)COc1cccc2[nH]c3ccccc3c12,5,2,12,27.49,-7.36394
98,COc1ccccc1OCC[NH2+]C[C@@H](O)COc1cccc2[nH]c3ccccc3c12,5,2,12,27.49,-7.56677
99,COc1ccccc1OCC[NH2+]C[C@@H](O)COc1cccc2[nH]c3ccccc3c12,5,2,12,27.5,-7.30333
100,COc1ccccc1OCC[NH2+]C[C@@H](O)COc1cccc2[nH]c3ccccc3c12,5,2,12,27.5,-7.26883
101,COc1ccccc1OCC[NH2+]C[C@@H](O)COc1cccc2[nH]c3ccccc3c12,5,2,12,27.5,-7.96123
102,COc1ccccc1OCC[NH2+]C[C@@H](O)COc1cccc2[nH]c3ccccc3c12,5,2,12,27.51,-7.14871
103,COc1ccccc1OCC[NH2+]C[C@@H](O)COc1cccc2[nH]c3ccccc3c12,5,2,12,27.51,-6.77935
104,COc1ccccc1OCC[NH2+]C[C@@H](O)COc1cccc2[nH]c3ccccc3c12,5,2,12,27.51,-6.69311
